model,workload,density,wan_gbps,deadline_s,policy,service_factor,draws,p05_qh_minus_baseline_w,median_qh_minus_baseline_w,p95_qh_minus_baseline_w,qh_win_fraction
gpt-oss-20b,coding,8,10,60,greedy,1.0,4000,-4025251.6739266547,-1.862645149230957e-09,900.2572070679428,0.1735
gpt-oss-20b,coding,8,10,60,greedy,1.2,4000,-3.2830390001635976,0.0,136.50202587731016,0.43575
gpt-oss-20b,coding,8,10,60,kv_only,0.8,4000,-104604.5304475167,-61415.95473084098,-35747.15247811239,0.0
gpt-oss-20b,coding,8,10,60,kv_only,1.0,4000,4944810.6533217775,11785109.155029345,11961536.087383747,1.0
gpt-oss-20b,coding,8,10,60,kv_only,1.2,4000,11765263.886661548,11880624.37679316,11965450.3819934,1.0
gpt-oss-20b,coding,8,10,60,replay_only,0.8,4000,0.0,0.0,2.8728982838785884,0.1
gpt-oss-20b,coding,8,10,60,replay_only,1.0,4000,-4025244.4484638977,-1.862645149230957e-09,905.6942430474104,0.1735
gpt-oss-20b,coding,8,10,60,replay_only,1.2,4000,-2.2962034430347003,0.0,148.36982155535196,0.43575
gpt-oss-20b,coding,8,10,60,isolated_fastest,0.8,4000,-104604.5304475167,-61415.95473084098,-35747.15247811239,0.0
gpt-oss-20b,coding,8,10,60,isolated_fastest,1.0,4000,4944810.6533217775,11785109.155029345,11961536.087383747,1.0
gpt-oss-20b,coding,8,10,60,isolated_fastest,1.2,4000,11765263.886661548,11880624.37679316,11965450.3819934,1.0
gpt-oss-20b,coding,8,10,120,greedy,0.8,4000,0.0,0.0,11.571691620440314,0.15
gpt-oss-20b,coding,8,10,120,greedy,1.0,4000,-3.725290298461914e-09,0.0,3.725290298461914e-09,0.289
gpt-oss-20b,coding,8,10,120,greedy,1.2,4000,-3.725290298461914e-09,0.0,3.725290298461914e-09,0.289
gpt-oss-20b,coding,8,10,120,kv_only,0.8,4000,-209198.83632265107,-122953.08412924246,-71495.44356428512,0.0
gpt-oss-20b,coding,8,10,120,kv_only,1.0,4000,11675598.366390754,11805835.507481726,11930216.75225133,1.0
gpt-oss-20b,coding,8,10,120,kv_only,1.2,4000,11675598.366390754,11805835.507481726,11930216.75225133,1.0
gpt-oss-20b,coding,8,10,120,replay_only,0.8,4000,0.0,0.0,11.571691620440314,0.15
gpt-oss-20b,coding,8,10,120,replay_only,1.0,4000,-3.725290298461914e-09,0.0,3.725290298461914e-09,0.289
gpt-oss-20b,coding,8,10,120,replay_only,1.2,4000,-3.725290298461914e-09,0.0,3.725290298461914e-09,0.289
gpt-oss-20b,coding,8,10,120,isolated_fastest,0.8,4000,-209198.83632265107,-122953.08412924246,-71495.44356428512,0.0
gpt-oss-20b,coding,8,10,120,isolated_fastest,1.0,4000,11675598.366390754,11805835.507481726,11930216.75225133,1.0
gpt-oss-20b,coding,8,10,120,isolated_fastest,1.2,4000,11675598.366390754,11805835.507481726,11930216.75225133,1.0
gpt-oss-20b,coding,8,10,300,greedy,0.8,4000,0.0,0.0,9.969901266325014,0.15
gpt-oss-20b,coding,8,10,300,greedy,1.0,4000,-3.725290298461914e-09,0.0,1.862645149230957e-09,0.20525
gpt-oss-20b,coding,8,10,300,greedy,1.2,4000,-3.725290298461914e-09,0.0,1.862645149230957e-09,0.20525
gpt-oss-20b,coding,8,10,300,kv_only,0.8,4000,-523135.16836973565,-307494.8627239682,-178739.17821474298,0.0
gpt-oss-20b,coding,8,10,300,kv_only,1.0,4000,11359276.531570913,11615377.251252346,11815520.451466734,1.0
gpt-oss-20b,coding,8,10,300,kv_only,1.2,4000,11359276.531570913,11615377.251252346,11815520.451466734,1.0
gpt-oss-20b,coding,8,10,300,replay_only,0.8,4000,0.0,0.0,9.969901266325014,0.15
gpt-oss-20b,coding,8,10,300,replay_only,1.0,4000,-3.725290298461914e-09,0.0,1.862645149230957e-09,0.20525
gpt-oss-20b,coding,8,10,300,replay_only,1.2,4000,-3.725290298461914e-09,0.0,1.862645149230957e-09,0.20525
gpt-oss-20b,coding,8,10,300,isolated_fastest,0.8,4000,-523135.16836973565,-307494.8627239682,-178739.17821474298,0.0
gpt-oss-20b,coding,8,10,300,isolated_fastest,1.0,4000,11359276.531570913,11615377.251252346,11815520.451466734,1.0
gpt-oss-20b,coding,8,10,300,isolated_fastest,1.2,4000,11359276.531570913,11615377.251252346,11815520.451466734,1.0
gpt-oss-20b,coding,8,10,600,greedy,0.8,4000,0.0,0.0,11.571691620440314,0.1
gpt-oss-20b,coding,8,10,600,greedy,1.0,4000,-3.725290298461914e-09,0.0,1.862645149230957e-09,0.2665
gpt-oss-20b,coding,8,10,600,greedy,1.2,4000,-3.725290298461914e-09,0.0,1.862645149230957e-09,0.2665
gpt-oss-20b,coding,8,10,600,kv_only,0.8,4000,-1046286.3719774884,-614993.5719324227,-357478.35642948595,0.0
gpt-oss-20b,coding,8,10,600,kv_only,1.0,4000,10841196.233638285,11311581.9203566,11638842.122593347,1.0
gpt-oss-20b,coding,8,10,600,kv_only,1.2,4000,10841196.233638285,11311581.9203566,11638842.122593347,1.0
gpt-oss-20b,coding,8,10,600,replay_only,0.8,4000,0.0,0.0,11.571691620440314,0.1
gpt-oss-20b,coding,8,10,600,replay_only,1.0,4000,-3.725290298461914e-09,0.0,1.862645149230957e-09,0.2665
gpt-oss-20b,coding,8,10,600,replay_only,1.2,4000,-3.725290298461914e-09,0.0,1.862645149230957e-09,0.2665
gpt-oss-20b,coding,8,10,600,isolated_fastest,0.8,4000,-1046286.3719774884,-614993.5719324227,-357478.35642948595,0.0
gpt-oss-20b,coding,8,10,600,isolated_fastest,1.0,4000,10841196.233638285,11311581.9203566,11638842.122593347,1.0
gpt-oss-20b,coding,8,10,600,isolated_fastest,1.2,4000,10841196.233638285,11311581.9203566,11638842.122593347,1.0
gpt-oss-20b,coding,8,10,1800,greedy,0.8,4000,0.0,0.0,11.571691620440314,0.15
gpt-oss-20b,coding,8,10,1800,greedy,1.0,4000,-3.725290298461914e-09,0.0,1.862645149230957e-09,0.23175
gpt-oss-20b,coding,8,10,1800,greedy,1.2,4000,-3.725290298461914e-09,0.0,1.862645149230957e-09,0.23175
