monotonic_ns,wall_ns,power_w,utilization_pct,memory_mib
5748817094987,1786471015295758578,109.6,100.0,89111.0
5748941818474,1786471015420482305,108.94,100.0,89111.0
5749066492561,1786471015545156222,108.51,100.0,89111.0
5749191178118,1786471015669841869,108.5,100.0,89111.0
5749316265998,1786471015794929619,108.84,100.0,89111.0
5749440994415,1786471015919658036,108.95,100.0,89111.0
5749565902424,1786471016044566165,108.93,100.0,89111.0
5749690680012,1786471016169343763,108.72,100.0,89111.0
5749815464029,1786471016294127790,108.54,100.0,89111.0
5749940472809,1786471016419136470,108.54,100.0,89111.0
5750065758132,1786471016544421823,108.57,100.0,89111.0
5750190773892,1786471016669437493,108.46,100.0,89111.0
5750315989293,1786471016794652844,108.3,100.0,89111.0
5750440798401,1786471016919461972,108.37,100.0,89111.0
5750565685540,1786471017044349261,108.79,100.0,89111.0
5750690676429,1786471017169340160,108.24,100.0,89111.0
5750815881041,1786471017294544792,108.17,100.0,89111.0
5750940568628,1786471017419232329,108.14,100.0,89111.0
5751066041517,1786471017544705118,108.56,100.0,89111.0
5751190824764,1786471017669488585,108.34,100.0,89111.0
5751315622192,1786471017794286143,108.79,100.0,89111.0
5751440606452,1786471017919270233,108.33,100.0,89111.0
5751565257629,1786471018043921280,107.69,100.0,89111.0
5751689955036,1786471018168618747,108.18,100.0,89111.0
5751814666923,1786471018293330624,108.52,100.0,89111.0
5751939305259,1786471018417968960,109.35,100.0,89111.0
5752064316459,1786471018542980340,109.5,100.0,89111.0
5752189657206,1786471018668320907,109.86,100.0,89111.0
5752314436909,1786471018793100570,109.34,100.0,89111.0
5752439483275,1786471018918146946,109.45,100.0,89111.0
5752564267037,1786471019042930648,109.4,100.0,89111.0
5752688822963,1786471019167486644,108.45,100.0,89111.0
5752813470769,1786471019292134300,107.86,100.0,89111.0
5752938245507,1786471019416909168,107.07,100.0,89111.0
5753063358768,1786471019542022449,107.16,100.0,89111.0
5753188276843,1786471019666940404,107.02,100.0,89111.0
5753313262380,1786471019791926171,107.11,100.0,89111.0
5753438233956,1786471019916897597,107.23,100.0,89111.0
5753562937454,1786471020041601295,107.21,100.0,89111.0
5753687783679,1786471020166447410,107.44,100.0,89111.0
5753812817451,1786471020291481202,109.53,100.0,89111.0
5753937705672,1786471020416369523,109.88,100.0,89111.0
5754062683153,1786471020541346794,109.99,100.0,89111.0
5754187452232,1786471020666115913,110.03,100.0,89111.0
5754312312702,1786471020790976283,110.31,100.0,89111.0
5754437518375,1786471020916181996,110.23,100.0,89111.0
5754562230494,1786471021040894045,110.21,100.0,89111.0
5754687125499,1786471021165789460,110.23,100.0,89111.0
5754811912334,1786471021290575935,108.66,100.0,89111.0
5754936750779,1786471021415414550,108.1,100.0,89111.0
5755061256955,1786471021539920616,107.7,100.0,89111.0
5755186755892,1786471021665419583,107.37,100.0,89111.0
5755311591122,1786471021790254793,106.55,100.0,89111.0
5755436376956,1786471021915040527,106.45,100.0,89111.0
5755561297691,1786471022039961342,106.69,100.0,89111.0
5755686196367,1786471022164860058,106.75,100.0,89111.0
5755811073972,1786471022289737653,106.93,100.0,89111.0
5755935917657,1786471022414581368,107.37,100.0,89111.0
5756060784202,1786471022539447893,107.39,100.0,89111.0
5756185742858,1786471022664406699,107.78,100.0,89111.0
5756310467167,1786471022789130768,108.76,100.0,89111.0
5756435630840,1786471022914294491,109.13,100.0,89111.0
5756560519860,1786471023039183311,109.35,100.0,89111.0
5756685328260,1786471023163991931,109.72,100.0,89111.0
5756810065619,1786471023288729300,110.33,100.0,89111.0
5756934972300,1786471023413636041,110.24,100.0,89111.0
5757059764629,1786471023538428360,110.43,100.0,89111.0
5757184732700,1786471023663396411,110.17,100.0,89111.0
5757309440819,1786471023788104640,109.86,100.0,89111.0
5757434565731,1786471023913229352,109.26,100.0,89111.0
5757559536062,1786471024038199723,108.83,100.0,89111.0
5757684409093,1786471024163072804,108.42,100.0,89111.0
5757809118007,1786471024287781658,107.27,100.0,89111.0
5757933785340,1786471024412449001,106.91,100.0,89111.0
5758058345062,1786471024537008783,106.64,100.0,89111.0
5758183220487,1786471024661884268,106.61,100.0,89111.0
5758307944281,1786471024786607932,106.33,100.0,89111.0
5758432673410,1786471024911337071,106.61,100.0,89111.0
5758557521405,1786471025036185166,106.69,100.0,89111.0
5758682308224,1786471025160971905,106.96,100.0,89111.0
5758806951617,1786471025285615348,107.07,100.0,89111.0
5758931752362,1786471025410416103,107.21,100.0,89111.0
